"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29009","Barry, MO","4","CA1","2","...","Population (persons) 1/",19844,19715,20231,20939,21570,21546,22030,22228,22799,23643,24218,24445,24543,24833,25151,25678,25977,26196,26820,27085,27273,27672,28076,28785,29483,30533,31711,32695,33175,33679,33769,33971,33981,34111,34555,34849,35241,35756,35844,35935,35640,35777,35660,35646,35660,35662
"29009","Barry, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2846,3021,3202,3521,3994,4285,4550,5133,5286,5928,6412,7210,8049,8392,8960,9851,10260,10850,10827,11539,12632,12873,13866,14372,15072,15432,16119,16918,17707,18685,19442,20926,22128,22447,22786,25021,25907,26811,27954,29929,29484,30230,30837,29615,31502,33329
"29011","Barton, MO","4","CA1","1","...","Personal income (thousands of dollars)",27506,29744,34147,39140,48781,49133,51990,54875,63047,70339,81387,84096,98845,103262,114661,121748,130389,139047,144780,151516,162214,153376,160455,177905,186234,201494,199236,220860,234890,233633,240890,254075,276050,282051,308753,342631,346452,348488,357130,386831,385861,378176,400347,412975,433903,431602
"29011","Barton, MO","4","CA1","2","...","Population (persons) 1/",10505,10503,10772,11088,10850,10972,10986,10846,10818,11056,11259,11295,11287,11189,11450,11434,11388,11256,11409,11385,11291,11336,11474,11624,11697,11836,11950,12131,12198,12391,12494,12542,12684,12780,12924,12941,12976,12972,12769,12589,12454,12381,12382,12365,12247,12057
"29011","Barton, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2618,2832,3170,3530,4496,4478,4732,5059,5828,6362,7229,7445,8757,9229,10014,10648,11450,12353,12690,13308,14367,13530,13984,15305,15922,17024,16672,18206,19256,18855,19280,20258,21764,22070,23890,26476,26699,26865,27969,30728,30983,30545,32333,33399,35429,35797
"29013","Bates, MO","4","CA1","1","...","Personal income (thousands of dollars)",44935,50350,54428,61953,78415,72994,82075,88470,96603,112216,128120,136105,158757,155762,157288,171638,178439,182153,190416,195156,202112,197753,206158,231196,233339,249000,252059,289975,309519,319687,337484,365540,418911,400403,417285,460386,459769,477206,502864,551083,548216,528117,548184,560157,579568,592238
"29013","Bates, MO","4","CA1","2","...","Population (persons) 1/",15773,15431,15375,15867,16227,16217,16485,16219,16343,15900,15671,15833,15645,15362,15582,15586,15445,15311,15368,15466,15263,14987,15106,15210,15385,15466,15735,15927,16013,16130,16407,16700,16801,17009,17109,17088,17117,17193,17189,17194,17044,17047,17028,16709,16531,16584
"29013","Bates, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2849,3263,3540,3905,4832,4501,4979,5455,5911,7058,8176,8596,10147,10139,10094,11012,11553,11897,12390,12618,13242,13195,13647,15200,15167,16100,16019,18207,19329,19819,20570,21889,24934,23541,24390,26942,26860,27756,29255,32051,32165,30980,32193,33524,35059,35711
"29015","Benton, MO","4","CA1","1","...","Personal income (thousands of dollars)",22391,24612,26782,31017,39324,39637,44984,49332,56260,64013,71668,74467,86412,93935,101602,119248,127239,137159,139021,147809,161298,165239,179411,192440,203173,218892,233794,257738,280040,295974,314580,339616,372868,381397,393147,437431,447110,471605,492784,525297,535399,546867,562275,578662,592333,612386
"29015","Benton, MO","4","CA1","2","...","Population (persons) 1/",9812,9814,10136,10741,10827,10761,10952,10854,10971,10973,11163,12158,12034,12134,12249,12460,12753,12910,12997,13187,13523,13939,14058,14244,14544,14991,15331,15916,16271,16571,16949,17202,17399,17588,17996,18336,18688,18749,19025,19046,18996,19119,19028,18958,18895,18806
